Speech Duration,Pitch,Speech Rate,Jitter,Shimmer,MFCCs,Mood,Sentiment Score,Speaker ID,Age Group,Gender,Language
18.02,138.88,77,0.018,0.02,"[2.508, -0.059, -4.787, -3.823, 7.839, 4.188, 8.894, 9.261, -0.76, -0.398, 3.277, -5.017, 3.091]",Sad,-0.29,d969902b-9016-4fbe-912c-657c64094e6e,Child,Male,English
3.66,284.85,165,0.036,0.046,"[7.142, 7.646, 0.855, 5.951, -0.062, 3.756, 4.685, -7.596, 1.799, 6.538, 6.835, -6.795, -6.85]",Surprised,0.46,188e3a5c-21be-45ce-a35e-68fc8809b099,Senior,Male,English
8.93,179.56,117,0.027,0.083,"[3.557, -5.489, 0.748, 0.675, 9.397, -6.319, 4.925, 4.346, -7.538, -8.083, 7.187, 4.724, -8.419]",Neutral,0.0,7e9b7dfc-2437-405a-9bbb-20d150676e29,Senior,Female,English
12.41,218.57,132,0.053,0.038,"[9.45, -6.478, -7.879, -6.744, 3.796, -7.392, -7.476, -9.396, -8.825, 1.587, 2.44, 9.947, 3.216]",Fearful,-0.37,8c28d2c1-1bbf-49e1-9c2a-eaf132279035,Child,Male,English
12.32,153.69,63,0.015,0.033,"[-0.875, 5.894, -8.461, 6.59, -7.81, -0.885, -0.831, -7.023, -3.096, -4.936, 0.492, 2.467, -0.431]",Bored,-0.18,43a54995-e8f3-4a65-9b8c-e3cd23c85396,Senior,Female,English
11.4,247.33,127,0.065,0.019,"[4.77, 6.222, -0.088, -8.239, 8.081, 2.012, -6.619, -1.38, 7.969, 8.295, 4.945, 8.222, 6.559]",Fearful,-0.36,0f60df32-1d32-4976-be89-24751d31055a,Senior,Female,English
6.89,209.33,179,0.024,0.091,"[8.363, 4.936, -9.692, -9.347, -4.375, 6.193, 5.371, -9.713, -4.827, 4.364, -2.171, -3.821, 6.95]",Happy,0.47,050912cb-8f90-4c16-8643-7f76a23d69d2,Adult,Female,English
8.74,337.83,160,0.088,0.042,"[-3.896, 1.85, 7.707, -1.796, 4.745, 2.362, -0.516, -3.198, 8.25, -1.162, -1.886, -0.113, 8.685]",Angry,-0.73,d6ef7cca-bdd0-44f1-b2f3-6dd7b308e2d8,Adult,Male,English
8.06,244.97,132,0.014,0.044,"[-0.503, 0.436, -5.902, 8.458, 1.789, 7.94, -4.983, 3.298, -1.225, -7.702, -2.564, -5.466, -7.302]",Happy,0.63,a47d1247-f706-434b-9599-22893e52d6ad,Adult,Female,English
7.5,251.94,154,0.087,0.088,"[-5.185, 3.02, -3.826, 3.164, -1.179, 4.533, -7.821, 2.775, 4.253, -9.391, -0.568, 7.702, -6.295]",Surprised,0.43,1a555477-4c3a-4faf-8321-f0c3824bd95c,Adult,Female,English
